fid,field_1_1,Full_address,Latitude,Longitude,room_price,municipio,zone_urb,rione,quartiere,sub_urbio,zone_agro,borgate,ex_mun,etichetta,Name,ZU,CODZU,TIPZU,MUNICIPIO_2,GRA,SUPERFICIE
"596","10"," piazza di Ponte Lungo 11, Roma, Italy","41.8779009","12.5189638","450","7","Tuscolano Nord,Tuscolano Sud,Tor Fiscale,Appio,Latino,Don Bosco,Appio Claudio,Quarto Miglio,Pignatelli,Lucrezia Romana,Osteria del Curato,Romanina,Gregna,Barcaccia,Morena,Ciampino","-","Tuscolano (parte),Appio-Latino (parte),Prenestino-Labicano (parte),Don Bosco (parte),Appio Claudio,Appio-Pignatelli (parte)","-","Torrenova (parte),Torre Gaia (parte),Capannelle,Torre Maura (parte),Casal Morena,Aeroporto di Ciampino (parte)","-",9-10,VII (Ex IX - X),Tuscolano Nord,Tuscolano Nord,9A,1.00000,7.00000,1.00000,107.00000
"598","20"," via Pescara, Roma, Italy","41.8827908","12.5231997","540","7","Tuscolano Nord,Tuscolano Sud,Tor Fiscale,Appio,Latino,Don Bosco,Appio Claudio,Quarto Miglio,Pignatelli,Lucrezia Romana,Osteria del Curato,Romanina,Gregna,Barcaccia,Morena,Ciampino","-","Tuscolano (parte),Appio-Latino (parte),Prenestino-Labicano (parte),Don Bosco (parte),Appio Claudio,Appio-Pignatelli (parte)","-","Torrenova (parte),Torre Gaia (parte),Capannelle,Torre Maura (parte),Casal Morena,Aeroporto di Ciampino (parte)","-",9-10,VII (Ex IX - X),Tuscolano Nord,Tuscolano Nord,9A,1.00000,7.00000,1.00000,107.00000
"604","80"," via Gerace 3, Roma, Italy","41.8823525","12.5198107","375","7","Tuscolano Nord,Tuscolano Sud,Tor Fiscale,Appio,Latino,Don Bosco,Appio Claudio,Quarto Miglio,Pignatelli,Lucrezia Romana,Osteria del Curato,Romanina,Gregna,Barcaccia,Morena,Ciampino","-","Tuscolano (parte),Appio-Latino (parte),Prenestino-Labicano (parte),Don Bosco (parte),Appio Claudio,Appio-Pignatelli (parte)","-","Torrenova (parte),Torre Gaia (parte),Capannelle,Torre Maura (parte),Casal Morena,Aeroporto di Ciampino (parte)","-",9-10,VII (Ex IX - X),Tuscolano Nord,Tuscolano Nord,9A,1.00000,7.00000,1.00000,107.00000
"615","179"," Re di Roma, Roma, Italy","41.8816351","12.5144046","450","7","Tuscolano Nord,Tuscolano Sud,Tor Fiscale,Appio,Latino,Don Bosco,Appio Claudio,Quarto Miglio,Pignatelli,Lucrezia Romana,Osteria del Curato,Romanina,Gregna,Barcaccia,Morena,Ciampino","-","Tuscolano (parte),Appio-Latino (parte),Prenestino-Labicano (parte),Don Bosco (parte),Appio Claudio,Appio-Pignatelli (parte)","-","Torrenova (parte),Torre Gaia (parte),Capannelle,Torre Maura (parte),Casal Morena,Aeroporto di Ciampino (parte)","-",9-10,VII (Ex IX - X),Tuscolano Nord,Tuscolano Nord,9A,1.00000,7.00000,1.00000,107.00000
"631","281"," San Giovanni, Roma, Italy","41.8853478","12.509976","300","7","Tuscolano Nord,Tuscolano Sud,Tor Fiscale,Appio,Latino,Don Bosco,Appio Claudio,Quarto Miglio,Pignatelli,Lucrezia Romana,Osteria del Curato,Romanina,Gregna,Barcaccia,Morena,Ciampino","-","Tuscolano (parte),Appio-Latino (parte),Prenestino-Labicano (parte),Don Bosco (parte),Appio Claudio,Appio-Pignatelli (parte)","-","Torrenova (parte),Torre Gaia (parte),Capannelle,Torre Maura (parte),Casal Morena,Aeroporto di Ciampino (parte)","-",9-10,VII (Ex IX - X),Tuscolano Nord,Tuscolano Nord,9A,1.00000,7.00000,1.00000,107.00000
"640","317"," via Gela 73, Roma, Italy","41.87853","12.520192","450","7","Tuscolano Nord,Tuscolano Sud,Tor Fiscale,Appio,Latino,Don Bosco,Appio Claudio,Quarto Miglio,Pignatelli,Lucrezia Romana,Osteria del Curato,Romanina,Gregna,Barcaccia,Morena,Ciampino","-","Tuscolano (parte),Appio-Latino (parte),Prenestino-Labicano (parte),Don Bosco (parte),Appio Claudio,Appio-Pignatelli (parte)","-","Torrenova (parte),Torre Gaia (parte),Capannelle,Torre Maura (parte),Casal Morena,Aeroporto di Ciampino (parte)","-",9-10,VII (Ex IX - X),Tuscolano Nord,Tuscolano Nord,9A,1.00000,7.00000,1.00000,107.00000
"649","381"," via Casalmonferrato, Roma, Italy","41.8806625","12.5182208","490","7","Tuscolano Nord,Tuscolano Sud,Tor Fiscale,Appio,Latino,Don Bosco,Appio Claudio,Quarto Miglio,Pignatelli,Lucrezia Romana,Osteria del Curato,Romanina,Gregna,Barcaccia,Morena,Ciampino","-","Tuscolano (parte),Appio-Latino (parte),Prenestino-Labicano (parte),Don Bosco (parte),Appio Claudio,Appio-Pignatelli (parte)","-","Torrenova (parte),Torre Gaia (parte),Capannelle,Torre Maura (parte),Casal Morena,Aeroporto di Ciampino (parte)","-",9-10,VII (Ex IX - X),Tuscolano Nord,Tuscolano Nord,9A,1.00000,7.00000,1.00000,107.00000
"650","388"," via Rimini 14, Roma, Italy","41.8843807","12.5120945","530","7","Tuscolano Nord,Tuscolano Sud,Tor Fiscale,Appio,Latino,Don Bosco,Appio Claudio,Quarto Miglio,Pignatelli,Lucrezia Romana,Osteria del Curato,Romanina,Gregna,Barcaccia,Morena,Ciampino","-","Tuscolano (parte),Appio-Latino (parte),Prenestino-Labicano (parte),Don Bosco (parte),Appio Claudio,Appio-Pignatelli (parte)","-","Torrenova (parte),Torre Gaia (parte),Capannelle,Torre Maura (parte),Casal Morena,Aeroporto di Ciampino (parte)","-",9-10,VII (Ex IX - X),Tuscolano Nord,Tuscolano Nord,9A,1.00000,7.00000,1.00000,107.00000
"656","417"," via Orvieto 26, Roma, Italy","41.8857641","12.5171361","450","7","Tuscolano Nord,Tuscolano Sud,Tor Fiscale,Appio,Latino,Don Bosco,Appio Claudio,Quarto Miglio,Pignatelli,Lucrezia Romana,Osteria del Curato,Romanina,Gregna,Barcaccia,Morena,Ciampino","-","Tuscolano (parte),Appio-Latino (parte),Prenestino-Labicano (parte),Don Bosco (parte),Appio Claudio,Appio-Pignatelli (parte)","-","Torrenova (parte),Torre Gaia (parte),Capannelle,Torre Maura (parte),Casal Morena,Aeroporto di Ciampino (parte)","-",9-10,VII (Ex IX - X),Tuscolano Nord,Tuscolano Nord,9A,1.00000,7.00000,1.00000,107.00000
"658","423"," via Monza 9, Roma, Italy","41.8859595","12.5153754","450","7","Tuscolano Nord,Tuscolano Sud,Tor Fiscale,Appio,Latino,Don Bosco,Appio Claudio,Quarto Miglio,Pignatelli,Lucrezia Romana,Osteria del Curato,Romanina,Gregna,Barcaccia,Morena,Ciampino","-","Tuscolano (parte),Appio-Latino (parte),Prenestino-Labicano (parte),Don Bosco (parte),Appio Claudio,Appio-Pignatelli (parte)","-","Torrenova (parte),Torre Gaia (parte),Capannelle,Torre Maura (parte),Casal Morena,Aeroporto di Ciampino (parte)","-",9-10,VII (Ex IX - X),Tuscolano Nord,Tuscolano Nord,9A,1.00000,7.00000,1.00000,107.00000
