Cod.,Nome,Municipio,Residenziale,Entro GRA,Popolazione totale,Popolazione 15-64 anni,FORZA LAVORO,Occupati,Disoccupati,NON FORZA LAVORO,Studenti,Casalinghe,Pensionati,Altra condizione non lavorativa,Tasso di attività,Tasso di occupa-zione,Tasso di disoccupazione
1A,Centro Storico,1.0,1.0,1.0,28727,20928,11686,10780,906,14492,1759,1846,3873,7014,55.83906727828746,51.50993883792049,7.75
1B,Trastevere,1.0,1.0,1.0,15519,11550,8432,7378,1054,5754,845,791,2225,1893,73.00432900432901,63.87878787878788,12.50
1C,Aventino,1.0,1.0,1.0,6963,4303,3014,2769,245,3104,624,532,1494,454,70.04415524052986,64.35045317220543,8.13
1D,Testaccio,1.0,1.0,1.0,7610,4805,3506,3172,334,3295,425,654,1734,482,72.96566077003122,66.01456815816857,9.53
1E,Esquilino,1.0,1.0,1.0,31941,21112,14313,13091,1222,13654,2038,2350,5900,3366,67.79556650246306,62.00738916256158,8.54
1F,XX Settembre,1.0,1.0,1.0,7914,4941,3745,3509,236,3326,549,547,1661,569,75.79437360858125,71.01801254806719,6.30
1G,Celio,1.0,1.0,1.0,3498,2222,1687,1567,120,1389,254,237,701,197,75.92259225922592,70.52205220522052,7.11
1X,Zona Archeologica,1.0,0.0,1.0,537,381,168,163,5,334,34,39,92,169,44.09448818897638,42.78215223097113,2.98
2A,Villaggio Olimpico,2.0,1.0,1.0,2677,1686,1194,1085,109,1209,182,217,627,183,70.8185053380783,64.35349940688019,9.13
2B,Parioli,2.0,1.0,1.0,19284,12132,8868,8426,442,7858,1772,1766,3332,988,73.09594460929773,69.45268710847346,4.98
2C,Flaminio,2.0,1.0,1.0,12061,7386,5512,5142,370,5108,881,834,2786,607,74.62767397779582,69.61819658813972,6.71
2D,Salario,2.0,1.0,1.0,22875,14238,10656,10063,593,9258,2040,1668,4541,1009,74.84197218710493,70.67706138502598,5.56
2E,Trieste,2.0,1.0,1.0,49259,30571,22719,21283,1436,20155,4105,3525,10430,2095,74.31552778777272,69.61826567662163,6.32
2X,Villa Borghese,2.0,0.0,1.0,473,313,232,221,11,189,39,42,70,38,74.12140575079871,70.6070287539936,4.74
2Y,Villa Ada,2.0,0.0,1.0,825,530,400,382,18,312,56,64,139,53,75.47169811320755,72.0754716981132,4.50
3A,Nomentano,2.0,1.0,1.0,37471,23427,17083,15967,1116,15929,3352,2471,8415,1691,72.92013488709608,68.15640073419559,6.53
3B,S. Lorenzo,2.0,1.0,1.0,8196,5466,3931,3583,348,3463,510,637,1756,560,71.91730698865715,65.55067691181851,8.85
3X,Università,2.0,0.0,1.0,876,593,429,396,33,337,62,46,175,54,72.34401349072512,66.77908937605397,7.69
3Y,Verano,2.0,0.0,1.0,226,142,99,91,8,120,11,24,72,13,69.71830985915493,64.08450704225352,8.08
4A,Monte Sacro,3.0,1.0,1.0,15448,9696,7210,6632,578,6301,1188,1009,3366,738,74.36056105610561,68.3993399339934,8.02
4B,Val Melaina,3.0,1.0,1.0,35149,20835,15068,13704,1364,15876,2066,3010,8944,1856,72.32061435085193,65.7739380849532,9.05
4C,Monte Sacro Alto,3.0,1.0,1.0,32470,19641,14456,13408,1048,13750,2335,2427,7654,1334,73.60114047146276,68.26536327070923,7.25
4D,Fidene,3.0,1.0,1.0,10754,7416,5139,4572,567,4154,686,1078,1822,568,69.29611650485437,61.6504854368932,11.03
4E,Serpentara,3.0,1.0,1.0,30001,21572,15068,13445,1623,11420,2142,2618,5077,1583,69.84980530317077,62.32616354533654,10.77
4F,Casal Boccone,3.0,1.0,1.0,11769,8007,5641,5142,499,4392,795,1070,1925,602,70.45085550143624,64.21880854252528,8.85
4G,Conca d'Oro,3.0,1.0,1.0,18455,11009,8122,7493,629,8228,1157,1531,4719,821,73.77600145335634,68.06249432282678,7.74
4H,Sacco Pastore,3.0,1.0,1.0,9531,6085,4527,4195,332,3927,669,690,2139,429,74.3960558751027,68.94001643385373,7.33
4I,Tufello,3.0,1.0,1.0,14706,9101,6169,5281,888,6821,783,1558,3355,1125,67.78376002637073,58.026590484562135,14.39
4L,Aeroporto dell' Urbe,3.0,1.0,1.0,1924,1252,903,796,107,774,104,209,362,99,72.12460063897763,63.578274760383394,11.85
4M,Settebagni,3.0,1.0,0.0,4727,3191,2356,2156,200,1656,296,436,736,188,73.83265434033218,67.56502663741773,8.49
4N,Bufalotta,3.0,1.0,0.0,6124,4135,2866,2550,316,2215,432,542,885,356,69.31076178960097,61.66868198307134,11.03
4O,Tor S. Giovanni,3.0,1.0,0.0,649,418,287,252,35,281,47,66,131,37,68.6602870813397,60.28708133971292,12.20
5A,Casal Bertone,4.0,1.0,1.0,15304,9555,6749,6158,591,6936,982,1552,3521,881,70.63317634746205,64.44793301936159,8.76
5B,Casal Bruciato,4.0,1.0,1.0,21143,13544,9379,8390,989,9443,1342,2022,4905,1174,69.24837566450088,61.946249261665685,10.54
5C,Tiburtino Nord,4.0,1.0,1.0,20040,12660,8829,7779,1050,8799,1192,1965,4413,1229,69.73933649289098,61.44549763033176,11.89
5D,Tiburtino Sud,4.0,1.0,1.0,23148,15927,10499,9358,1141,10007,1776,2232,4925,1074,65.91950775412822,58.75557229861242,10.87
5E,S. Basilio,4.0,1.0,1.0,25665,17346,11638,10079,1559,10180,1567,2561,4127,1925,67.09327798916178,58.10561512740689,13.40
5F,Tor Cervara,4.0,1.0,1.0,2135,1473,976,810,166,872,106,275,313,178,66.25933469110659,54.989816700610994,17.01
5G,Pietralata,4.0,1.0,1.0,13409,8224,5861,5336,525,6176,857,1244,3327,748,71.2670233463035,64.88326848249028,8.96
5H,Casal de' Pazzi,4.0,1.0,1.0,26123,17536,12010,10807,1203,11112,2008,2380,5329,1395,68.48768248175182,61.62750912408759,10.02
5I,S. Alessandro,4.0,1.0,0.0,9856,6701,5098,4759,339,2441,629,717,791,304,76.07819728398746,71.01925085808088,6.65
5L,Settecamini,4.0,1.0,0.0,10999,7606,5423,4805,618,3818,617,1123,1493,585,71.29897449382067,63.17381014988167,11.40
6A,Torpignattara,5.0,1.0,1.0,43383,27802,19913,18045,1868,18506,2654,4230,9273,2349,71.62434357240485,64.90540248902957,9.38
6B,Casilino,5.0,1.0,1.0,10741,6757,4473,4019,454,5041,703,1105,2707,526,66.19801687139262,59.479058753884864,10.15
6C,Quadraro,5.0,1.0,1.0,18577,12341,8734,7809,925,7410,983,1936,3240,1251,70.77222267239284,63.276881938254604,10.59
6D,Gordiani,5.0,1.0,1.0,40564,24635,17189,15554,1635,18596,2492,4463,9612,2029,69.7747107773493,63.137812056017864,9.51
7A,Centocelle,5.0,1.0,1.0,50803,32888,22888,20465,2423,21509,3105,5668,9736,3000,69.5937728046704,62.22634395524204,10.59
7B,Alessandrina,5.0,1.0,1.0,25978,17078,11758,10416,1342,10480,1561,2869,4541,1509,68.84881133622204,60.99074833118632,11.41
7C,Tor Sapienza,5.0,1.0,1.0,11711,7600,5142,4607,535,4998,768,1259,2297,674,67.65789473684211,60.618421052631575,10.40
7D,La Rustica,5.0,1.0,1.0,9830,6728,4615,4072,543,3755,639,1050,1517,549,68.59393579072533,60.523186682520816,11.77
7E,Tor Tre Teste,5.0,1.0,1.0,11286,7833,5376,4841,535,4604,833,1090,2061,620,68.63270777479893,61.80262989914465,9.95
7F,Casetta Mistica,5.0,1.0,1.0,813,541,367,342,25,317,57,84,114,62,67.8373382624769,63.21626617375231,6.81
7G,Centro Direz. Centocelle,5.0,1.0,1.0,1109,809,519,459,60,449,99,116,146,88,64.15327564894932,56.736711990111246,11.56
7H,Omo,5.0,1.0,1.0,1569,1251,986,882,104,360,78,92,104,86,78.81694644284572,70.50359712230215,10.55
8A,Torrespaccata,6.0,1.0,1.0,20048,14119,10998,6955,4043,7177,858,1643,3213,1463,77.89503505914016,49.25986259650117,36.76
8B,Torre Maura,6.0,1.0,1.0,18896,12300,8292,7398,894,8019,1087,2284,3429,1219,67.41463414634147,60.14634146341463,10.78
8C,Giardinetti-Tor Vergata,6.0,1.0,0.0,18541,12619,8400,7388,1012,7344,1078,2153,2797,1316,66.56628892939219,58.5466360250416,12.05
8D,Acqua Vergine,6.0,1.0,0.0,5355,3824,3030,2795,235,1292,196,457,445,194,79.23640167364016,73.09100418410041,7.76
8E,Lunghezza,6.0,1.0,0.0,28027,20035,14373,12724,1649,8714,1400,2875,3142,1297,71.73945595208386,63.508859495882206,11.47
8F,Torre Angela,6.0,1.0,0.0,80311,55778,36860,32052,4808,30851,4870,9747,10963,5271,66.08340205815914,57.463516081609235,13.04
8G,Borghesiana,6.0,1.0,0.0,43135,29776,19984,17437,2547,15558,2638,5163,5556,2201,67.11445459430414,58.560585706609345,12.75
8H,S. Vittorino,6.0,1.0,0.0,12025,8431,5974,5252,722,3767,597,1322,1269,579,70.85754951962994,62.29391531253706,12.09
9A,Tuscolano Nord,7.0,1.0,1.0,20987,13428,9965,9151,814,8702,1374,1464,4842,1022,74.21060470658325,68.14864462317546,8.17
9B,Tuscolano Sud,7.0,1.0,1.0,45256,27834,20372,18663,1709,19741,2919,3748,11022,2052,73.1910612919451,67.05108859668032,8.39
9C,Tor Fiscale,7.0,1.0,1.0,1821,1247,881,758,123,626,112,176,218,120,70.6495589414595,60.78588612670409,13.96
9D,Appio,7.0,1.0,1.0,26397,16672,12346,11385,961,11154,1949,1751,6206,1248,74.05230326295586,68.28814779270633,7.78
9E,Latino,7.0,1.0,1.0,21825,13509,10024,9286,738,9089,1577,1550,4998,964,74.20238359612111,68.73935894588793,7.36
10A,Don Bosco,7.0,1.0,1.0,50982,30345,21584,19444,2140,23907,2805,5706,12495,2901,71.12868676882518,64.0764541110562,9.91
10B,Appio-Claudio,7.0,1.0,1.0,28783,17781,12563,11494,1069,12688,1966,2705,6603,1414,70.65406895000281,64.6420336314043,8.51
10C,Quarto Miglio,7.0,1.0,1.0,10336,6750,4915,4498,417,3993,667,837,1952,537,72.81481481481481,66.63703703703703,8.48
10D,Pignatelli,7.0,1.0,1.0,6472,4081,2949,2688,261,2688,493,619,1281,295,72.26170056358737,65.86620926243569,8.85
10E,Lucrezia Romana,7.0,1.0,1.0,4451,3073,2370,2200,170,1198,252,292,493,161,77.12333224861698,71.59127888057273,7.17
10F,Osteria del Curato,7.0,1.0,1.0,20839,14941,10323,9207,1116,8365,1626,1892,3859,988,69.09176092631016,61.62238136670906,10.81
10G,Romanina,7.0,1.0,0.0,6137,4318,3062,2700,362,2119,391,621,805,302,70.91245947197777,62.52894858730894,11.82
10H,Gregna,7.0,1.0,0.0,6292,4223,2969,2682,287,2253,405,607,942,299,70.30547004499171,63.50935354013735,9.67
10I,Barcaccia,7.0,1.0,0.0,10099,6929,5238,4834,404,2634,579,754,955,346,75.59532400057728,69.76475681916583,7.71
10L,Morena,7.0,1.0,0.0,29615,20332,14361,12968,1393,10463,2066,2709,4472,1216,70.63250049183553,63.78123155616762,9.70
10X,Ciampino,7.0,0.0,0.0,80,55,42,37,5,19,4,9,5,1,76.36363636363637,67.27272727272727,11.90
11A,Ostiense,8.0,1.0,1.0,7288,4595,3425,3130,295,2993,366,626,1595,406,74.53754080522307,68.11751904243744,8.61
11B,Valco S. Paolo,8.0,1.0,1.0,7580,4567,3269,2968,301,3486,488,670,1860,468,71.57871688197942,64.98795708342456,9.21
11C,Garbatella,8.0,1.0,1.0,42555,25829,18856,17242,1614,18821,2573,3494,10412,2342,73.00321344225483,66.75442332262186,8.56
11D,Navigatori,8.0,1.0,1.0,5000,2889,2162,2043,119,2158,381,345,1243,189,74.8355832467982,70.7165109034268,5.50
