CODZU,room_price_y
10A,403
10B,406
10E,400
10F,414
10G,411
10H,367
10I,392
10L,430
10X,450
11A,454
11B,467
11C,467
11D,486
11E,408
11F,410
11G,425
11X,400
12A,380
12B,388
12C,410
12D,477
12E,405
12F,500
12G,338
12H,318
12I,335
12L,300
12M,500
13A,370
13B,300
13C,325
13E,500
13F,372
13G,416
13H,404
13I,350
13X,450
15A,478
15B,458
15C,400
15D,458
15F,450
16A,468
16B,390
16C,473
16D,476
16E,450
16F,350
17A,614
17B,490
17C,540
18A,523
18B,411
18C,400
18D,494
18E,450
19A,441
19B,395
19C,375
19D,360
19E,396
19F,587
19G,313
1A,600
1B,560
1C,512
1D,450
1E,520
1F,540
1G,560
1X,525
20A,450
20B,500
20C,350
20D,550
20E,500
20F,400
20G,392
20H,370
20L,400
20M,344
20N,366
20X,600
2A,380
2B,614
2C,525
2D,522
2E,496
2Y,600
3A,492
3B,481
3X,360
3Y,512
4A,423
4B,361
4C,350
4D,295
4E,400
4F,443
4G,452
4H,467
4I,390
4N,600
5A,418
5B,403
5C,439
5D,357
5E,428
5F,300
5G,421
5H,365
5I,340
5L,363
6A,405
6B,407
6C,382
6D,357
7A,383
7B,345
7C,425
8A,337
8B,372
8C,319
8E,420
8F,353
8G,457
9A,464
9B,442
9D,485
9E,494
