;Full_address;Latitude;Longitude;room_price
0; via Apulia 13, Roma, Italy;4.188.205;12.504.559.599.999.900;430.0
1; via Nemorense 18, Roma, Italy;41.926.064.399.999.900;125.097.871;750.0
2; viale Eritrea 91, Roma, Italy;41.927.925.200.000.000;1.251.559;450.0
3; viale Agosta 22, Roma, Italy;418.914.383;125.575.476;385.0
4; via Palestro 15, Roma, Italy;41.907.846.299.999.900;125.006.797;385.0
5; via Antonio Cippico, Roma, Italy;41.821.419.399.999.900;124.826.393;500.0
6; via Lovanio, Roma, Italy;419.214.504;124.980.441;550.0
7; via Stanislao Cannizzaro 72, Roma, Italy;41.929.968;12.570.610.400.000.000;340.0
8; via Val d'Aosta 102, Roma, Italy;41.932.951.200.000.000;125.244.151;450.0
9; via Antonio Magarotto 36, Roma, Italy;4.191.261.420.000.000;123.959.088;350.0
10; piazza di Ponte Lungo 11, Roma, Italy;4.187.790.089.999.990;125.189.638;450.0
11;  via via Giovanni Vitelleschi, Roma, Italy;419.047.693;12.461.485.099.999.900;480.0
12; via Antonio Silvani 36, Roma, Italy;419.482.219;125.185.512;340.0
13; piazza Istria, Roma, Italy;419.231.739;125.121.716;550.0
14; via Giovanni Frignani 169, Roma, Italy;417.899.185;124.472.191;230.0
15; via Livio Andronico, Roma, Italy;419.109.555;12.441.396.899.999.900;400.0
16; via Pieve di Cadore, Roma, Italy;41.939.510.299.999.900;124.370.312;500.0
17; via Pomarico, Roma, Italy;418.297.645;12.518.052.099.999.900;400.0
18; via Sebastiano Veniero 30, Roma, Italy;41.907.695.700.000.000;124.542.396;550.0
19; via Latina 497, Roma, Italy;41.873.225;12.514.204.300.000.000;450.0
20; via Pescara, Roma, Italy;418.827.908;125.231.997;540.0
21; via Carlo Giuseppe Bertero 43, Roma, Italy;419.323.637;125.544.043;425.0
22; via Catania 71A, Roma, Italy;41.910.003.700.000.000;125.199.187;500.0
23; via Quirino Majorana, Roma, Italy;418.677.573;124.624.321;500.0
24; via della Meloria, Roma, Italy;4.190.729.279.999.990;12.445.734.199.999.900;550.0
25; viale delle Provincie 55, Roma, Italy;419.100.597;125.213.046;450.0
26; via Sardegna, Roma, Italy;419.088.044;12.488.867.599.999.900;450.0
27; via Po 58, Roma, Italy;42.026.618.799.999.900;119.419.396;700.0
28; via dei Cessati Spiriti 88, Roma, Italy;41.866.568;12.529.739.900.000.000;380.0
29; via di Torrevecchia 5, Roma, Italy;41.923.921.899.999.900;124.128.615;450.0
30; via Giovanni Garau 19, Roma, Italy;41.735.454.600.000.000;122.691.927;320.0
31; largo Trionfale 1, Roma, Italy;419.105.131;124.546.836;650.0
32; via Riccardo Zampieri 51, Roma, Italy;41.905.013.000.000.000;125.486.577;330.0
33; viale delle Milizie, Roma, Italy;41.911.209.899.999.900;124.581.093;550.0
34; via Tagliamento 76, Roma, Italy;416.570.679;124.232.121;470.0
