CodeZU;Servizi;Superficie(Km^2);Densita_servizi
01A;755;320;2.35938
01B;238;181;1.31492
01C;62;155;0.4
01D;70;65;1.07692
01E;4829;308;15.67857
01F;298;141;2.11348
01G;65;67;0.97015
01X;10;193;0.05181
02A;21;115;0.18261
02B;99;208;0.47596
02C;82;138;0.5942
02D;149;193;0.77202
02E;217;290;0.74828
02X;47;138;0.34058
02Y;14;286;0.04895
03A;208;291;0.71478
03B;111;50;2.22
03X;34;99;0.34343
03Y;5;150;0.03333
04A;48;167;0.28743
04B;61;319;0.19122
04C;114;248;0.45968
04D;28;111;0.25225
04E;77;564;0.13652
04F;67;607;0.11038
04G;78;124;0.62903
04H;39;46;0.84783
04I;41;87;0.47126
04L;14;445;0.03146
04M;46;481;0.09563
04N;12;1397;0.00859
04O;7;5185;0.00135
05A;88;134;0.65672
05B;65;255;0.2549
05C;70;355;0.19718
05D;78;283;0.27562
05E;95;620;0.15323
05F;12;363;0.03306
05G;76;225;0.33778
05H;127;497;0.25553
05I;20;1143;0.0175
05L;55;1039;0.05294
06A;258;235;1.09787
06B;56;209;0.26794
06C;96;158;0.60759
06D;93;189;0.49206
07A;214;300;0.71333
07B;85;309;0.27508
07C;57;210;0.27143
07D;29;175;0.16571
07E;16;125;0.128
07F;8;324;0.02469
07G;10;188;0.05319
07H;13;276;0.0471
08A;24;170;0.14118
08B;73;268;0.27239
08C;75;880;0.08523
08D;15;1124;0.01335
08E;62;1252;0.04952
08F;158;1649;0.09582
08G;78;2356;0.03311
08H;26;3638;0.00715
09A;121;107;1.13084
09B;243;316;0.76899
09C;9;91;0.0989
09D;133;134;0.99254
09E;111;159;0.69811
10A;182;238;0.76471
10B;110;357;0.30812
10C;29;515;0.05631
10D;17;112;0.15179
10E;54;187;0.28877
10F;32;235;0.13617
10G;26;221;0.11765
10H;28;283;0.09894
10I;44;514;0.0856
10L;72;894;0.08054
10X;20;313;0.0639
11A;97;108;0.89815
11B;36;158;0.22785
11C;235;301;0.78073
11D;18;78;0.23077
11E;88;479;0.18372
11F;48;197;0.24365
11G;23;298;0.07718
11X;26;2047;0.0127
11Y;4;1064;0.00376
12A;11;567;0.0194
12B;0;142;0
12C;10;760;0.01316
12D;5;489;0.01022
12E;4;1160;0.00345
12F;4;530;0.00755
12G;3;443;0.00677
12H;6;3901;0.00154
12I;3;5169;0.00058
12L;1;3223;0.00031
12M;1;1125;0.00089
12N;0;521;0
12X;0;287;0
13A;51;630;0.08095
13B;70;916;0.07642
13C;87;710;0.12254
13D;94;1029;0.09135
13E;65;2251;0.02888
13F;248;568;0.43662
13G;263;445;0.59101
13H;82;1221;0.06716
13I;100;1147;0.08718
13X;18;6147;0.00293
15A;140;126;1.11111
15B;86;232;0.37069
15C;57;177;0.32203
15D;106;667;0.15892
15E;55;1150;0.04783
15F;37;461;0.08026
15G;43;4275;0.01006
16A;158;373;0.42359
16B;106;676;0.1568
16C;20;784;0.02551
16D;253;290;0.87241
16E;14;140;0.1
16F;47;4841;0.00971
16X;11;209;0.05263
17A;293;170;1.72353
17B;150;311;0.48232
17C;120;81;1.48148
18A;79;313;0.2524
18B;85;734;0.1158
18C;48;504;0.09524
18D;52;161;0.32298
18E;37;339;0.10914
18F;31;4816;0.00644
19A;105;450;0.23333
19B;153;390;0.39231
19C;48;532;0.09023
19D;42;962;0.04366
19E;16;334;0.0479
19F;12;138;0.08696
19G;57;5631;0.01012
19H;5;4692;0.00107
20A;28;392;0.07143
20B;2;136;0.01471
20C;46;479;0.09603
20D;48;239;0.20084
20E;22;1083;0.02031
20F;12;287;0.04181
20G;24;927;0.02589
20H;33;2049;0.01611
20I;13;3426;0.00379
20L;26;3093;0.00841
20M;49;1164;0.0421
20N;41;4122;0.00995
20O;1;1081;0.00093
20X;30;193;0.15544
